time,source,sink
0,23.6,23.5
1,23.7,23.4
2,23.7,23.5
3,23.7,23.5
4,23.9,23.5
5,24,23.5
6,24,23.5
7,24.2,23.5
8,24.4,23.5
9,24.4,23.5
10,24.7,23.5
11,24.8,23.6
12,24.9,23.6
13,25.1,23.6
14,25.3,23.6
15,25.5,23.5
16,25.7,23.6
17,25.9,23.6
18,25.9,23.6
19,26.3,23.6
20,26.4,23.6
21,26.5,23.7
22,26.7,23.7
23,27,23.6
24,27.1,23.6
25,27.3,23.6
26,27.5,23.6
27,27.8,23.7
28,28,23.6
29,28.2,23.6
30,28.3,23.6
31,28.4,23.6
32,28.8,23.6
33,29,23.6
34,29.1,23.6
35,29.4,23.7
36,29.6,23.7
37,29.7,23.6
38,29.9,23.6
39,30.2,23.6
40,30.3,23.6
41,30.5,23.7
42,30.8,23.6
43,30.9,23.7
44,31.2,23.7
45,31.5,23.6
46,31.6,23.7
47,31.8,23.7
48,32.1,23.6
49,32.3,23.6
50,32.4,23.6
51,32.7,23.7
52,32.9,23.6
53,33,23.7
54,33.2,23.7
55,33.4,23.6
56,33.6,23.7
57,33.7,23.7
58,34.1,23.7
59,34.2,23.7
60,34.4,23.7
61,34.7,23.7
62,34.8,23.7
63,34.9,23.7
64,35.2,23.7
65,35.4,23.7
66,35.5,23.7
67,35.8,23.7
68,36,23.7
69,36.1,23.8
70,36.3,23.7
71,36.6,23.8
72,36.7,23.7
73,36.8,23.8
74,37.1,23.8
75,37.2,23.8
76,37.4,23.7
77,37.7,23.7
78,37.8,23.7
79,38,23.7
80,38.3,23.8
81,38.4,23.7
82,38.5,23.8
83,38.6,23.8
84,38.9,23.7
85,39,23.7
86,39.1,23.7
87,39.5,23.8
88,39.7,23.8
89,39.9,23.8
90,40.2,23.8
91,40.4,23.8
92,40.5,23.8
93,40.7,23.8
94,41,23.8
95,41.1,23.9
96,41.3,23.9
97,41.6,23.9
98,41.7,23.9
99,41.8,23.9
100,42.1,23.8
101,42.2,23.9
102,42.4,23.9
103,42.5,24
104,42.8,23.9
105,43,24
106,43.2,24
107,43.4,24
108,43.5,24
109,43.6,24
110,43.9,24
111,44,24
112,44.2,24
113,44.3,24.1
114,44.5,24
115,44.7,24
116,44.8,24
117,45.1,24.1
118,45.3,24
119,45.3,24
120,45.6,24
121,45.6,24.1
122,45.8,24
123,46,24
124,46.1,24.1
125,46.2,24.1
126,46.4,24.1
127,46.7,24.1
128,46.8,24.1
129,46.9,24.1
130,47.1,24.1
131,47.3,24.1
132,47.4,24.1
133,47.6,24
134,47.8,24.1
135,48,24.1
136,48.1,24.1
137,48.4,24.1
138,48.6,24.1
139,48.7,24.1
140,48.9,24.1
141,49,24.1
142,49.2,24.1
143,49.4,24.2
144,49.5,24.2
145,49.6,24.2
146,49.8,24.1
147,50,24.2
148,50.1,24.2
149,50.2,24.2
150,50.5,24.2
151,50.6,24.2
152,50.7,24.2
153,51,24.2
154,51.2,24.2
155,51.3,24.2
156,51.5,24.3
157,51.6,24.3
158,51.8,24.3
159,52.1,24.2
160,52.2,24.2
161,52.3,24.3
162,52.3,24.3
163,52.4,24.3
164,52.6,24.3
165,52.8,24.3
166,53,24.4
167,53.1,24.4
168,53.2,24.4
169,53.5,24.4
170,53.6,24.4
171,53.7,24.5
172,54,24.4
173,54.1,24.4
174,54.2,24.4
175,54.4,24.4
176,54.4,24.5
177,54.5,24.5
178,54.8,24.4
179,54.9,24.4
180,55,24.4
181,55,24.4
182,55.3,24.5
183,55.4,24.5
184,55.5,24.5
185,55.8,24.6
186,55.9,24.5
187,56,24.5
188,56.2,24.5
189,56.3,24.5
190,56.5,24.6
191,56.7,24.5
192,56.8,24.6
193,57,24.6
194,57.2,24.6
195,57.2,24.6
196,57.3,24.6
197,57.4,24.7
198,57.8,24.6
199,57.9,24.7
200,58,24.7
201,58.3,24.7
202,58.4,24.7
203,58.5,24.7
204,58.6,24.7
205,58.8,24.8
206,58.8,24.7
207,59,24.7
208,59,24.8
209,59.1,24.7
210,59.3,24.7
211,59.3,24.7
212,59.5,24.7
213,59.6,24.7
214,59.9,24.8
215,60.1,24.8
216,60.2,24.8
217,60.5,24.8
218,60.7,24.8
219,60.9,24.8
220,61.1,24.8
221,61.2,24.9
222,61.2,24.8
223,61.3,24.8
224,61.4,24.9
225,61.4,24.8
226,61.5,24.8
227,61.9,24.9
228,62,24.8
229,62.1,24.8
230,62.4,24.8
231,62.4,24.9
232,62.4,25
233,62.5,24.9
234,62.6,25
235,62.7,25
236,62.9,25
237,63.2,25
238,63.3,25
239,63.6,25
240,63.7,25
241,64,25
242,63.9,25
243,63.7,25
244,64,25
245,64,25.1
246,64.1,25.1
247,64.5,25.1
248,64.5,25.1
249,64.6,25.1
250,64.8,25.1
251,64.9,25.2
252,64.9,25.2
253,64.9,25.1
254,65,25.2
255,65.1,25.2
256,65.2,25.2
257,65.3,25.2
258,65.3,25.2
259,65.4,25.2
260,65.5,25.2
261,65.8,25.2
262,65.9,25.2
263,65.9,25.2
264,66.1,25.2
265,66.2,25.2
266,66.2,25.2
267,66.2,25.1
268,66.4,25.1
269,66.6,25.2
270,66.6,25.2
271,66.8,25.2
