Sample No.,Unexp 11/22 Source,Unexp 11/22 Sink,Exp 11/20 Source,Exp 11/20 Sink,Exp 9/22 Source,Exp 9/22 Sink
0,22.5,22.4,22.4,22.2,22.5,22.4
1,22.4,22.5,22.4,22.2,22.4,22.4
2,22.4,22.4,22.3,22.2,22.4,22.4
3,22.5,22.4,22.3,22.2,22.5,22.4
4,22.4,22.5,22.3,22.2,22.4,22.4
5,22.5,22.5,22.3,22.2,22.4,22.5
6,22.4,22.4,22.3,22.2,22.4,22.4
7,22.5,22.4,22.3,22.3,22.4,22.4
8,22.5,22.5,22.4,22.2,22.5,22.5
9,22.5,22.4,22.4,22.2,22.4,22.5
10,22.5,22.4,22.4,22.2,22.5,22.5
11,22.5,22.4,22.4,22.2,22.4,22.4
12,22.5,22.5,22.3,22.3,22.4,22.5
13,22.5,22.4,22.3,22.3,22.5,22.4
14,22.5,22.5,22.3,22.3,22.5,22.4
15,22.5,22.5,22.4,22.3,22.4,22.5
16,22.5,22.5,22.4,22.3,22.5,22.4
17,22.5,22.5,22.4,22.3,22.5,22.4
18,22.5,22.5,22.5,22.3,22.6,22.4
19,22.5,22.5,22.4,22.3,22.7,22.5
20,22.6,22.5,22.5,22.3,22.8,22.5
21,22.7,22.5,22.5,22.3,22.9,22.5
22,22.7,22.5,22.6,22.3,23,22.5
23,22.7,22.5,22.6,22.3,23.1,22.5
24,22.8,22.5,22.8,22.3,23.1,22.5
25,22.9,22.5,22.8,22.4,23.3,22.5
26,22.9,22.5,22.9,22.4,23.5,22.6
27,23.1,22.6,23,22.4,23.6,22.6
28,23.1,22.6,23.1,22.4,23.7,22.6
29,23.2,22.7,23.2,22.5,23.9,22.6
30,23.3,22.6,23.3,22.5,24,22.7
31,23.5,22.6,23.4,22.5,24.1,22.7
32,23.5,22.7,23.6,22.6,24.2,22.7
33,23.6,22.7,23.7,22.6,24.4,22.8
34,23.8,22.7,23.8,22.7,24.5,22.9
35,23.8,22.8,24,22.7,24.6,22.8
36,24,22.8,24.1,22.8,24.8,22.9
37,24.1,22.9,24.2,22.7,24.8,23
38,24.1,22.8,24.4,22.9,25,23
39,24.2,22.9,24.4,22.9,25.2,23.1
40,24.5,22.9,24.6,23,25.2,23.2
41,24.6,23,24.8,23,25.4,23.2
42,24.6,23,24.9,23.1,25.6,23.3
43,24.7,23.1,25,23.1,25.7,23.3
44,24.9,23.2,25.1,23.2,25.8,23.3
45,24.9,23.2,25.3,23.3,26,23.4
46,25.2,23.2,25.4,23.3,26.1,23.5
47,25.3,23.3,25.5,23.4,26.3,23.6
48,25.4,23.3,25.7,23.5,26.3,23.6
49,25.5,23.4,25.9,23.7,26.5,23.7
50,25.6,23.5,25.9,23.6,26.6,23.8
51,25.7,23.5,26.1,23.7,26.7,23.8
52,25.8,23.5,26.2,23.8,26.9,23.9
53,26,23.7,26.3,23.8,27,23.9
54,26,23.7,26.5,23.9,27.1,24
55,26.1,23.8,26.6,24,27.3,24.1
56,26.2,23.9,26.7,24.1,27.3,24.2
57,26.4,23.9,26.9,24.1,27.4,24.2
58,26.4,24,27,24.2,27.6,24.3
59,26.7,24.1,27.1,24.4,27.7,24.4
60,26.8,24.1,27.2,24.3,27.9,24.5
61,26.9,24.2,27.4,24.5,28,24.5
62,27,24.3,27.5,24.5,28.1,24.6
63,27.1,24.3,27.6,24.6,28.2,24.7
64,27.2,24.4,27.8,24.8,28.3,24.8
65,27.4,24.4,27.9,24.8,28.5,24.9
66,27.5,24.5,28,24.8,28.6,25
67,27.6,24.6,28.1,24.9,28.7,25
68,27.6,24.6,28.2,25.1,28.9,25.1
69,27.9,24.7,28.3,25.1,29,25.2
70,27.9,24.8,28.5,25.3,29,25.2
71,28,24.8,28.6,25.3,29.3,25.3
72,28.2,25,28.7,25.4,29.3,25.4
73,28.2,25,28.9,25.5,29.4,25.5
74,28.3,25.1,29,25.5,29.5,25.5
75,28.5,25.2,29,25.6,29.7,25.6
76,28.6,25.3,29.1,25.7,29.8,25.7
77,28.7,25.3,29.3,25.8,29.8,25.8
78,28.8,25.4,29.5,25.8,30,25.9
79,28.9,25.5,29.6,25.9,30.2,26
80,29,25.5,29.7,26,30.2,26
81,29.1,25.7,29.8,26,30.4,26.1
82,29.2,25.7,29.9,26.2,30.4,26.1
83,29.3,25.8,30.1,26.3,30.5,26.2
84,29.4,25.9,30.2,26.3,30.7,26.3
85,29.6,25.9,30.3,26.4,30.8,26.4
86,29.6,26,30.4,26.5,30.8,26.5
87,29.7,26.1,30.6,26.6,30.9,26.5
88,29.9,26.2,30.6,26.6,31.1,26.6
89,30,26.3,30.8,26.7,31.1,26.7
90,30.1,26.4,30.8,26.8,31.2,26.7
91,30.2,26.5,31,26.9,31.4,26.9
92,30.3,26.5,31.1,26.9,31.5,27
93,30.4,26.6,31.2,27.1,31.6,27
94,30.5,26.7,31.3,27.1,31.7,27.1
95,30.6,26.7,31.4,27.2,31.8,27.1
96,30.7,26.8,31.6,27.3,31.9,27.2
97,30.9,26.8,31.6,27.3,32,27.3
98,31,27,31.7,27.4,32.1,27.5
99,31.1,27,31.9,27.5,32.2,27.4
100,31.3,27,32,27.5,32.2,27.5
101,31.4,27.1,32.1,27.7,32.4,27.7
102,31.4,27.2,32.2,27.8,32.5,27.7
103,31.5,27.3,32.3,27.8,32.6,27.8
104,31.6,27.5,32.4,27.8,32.8,27.9
105,31.8,27.4,32.5,28,32.8,28
106,31.9,27.5,32.7,28,32.9,28
107,32,27.6,32.7,28.1,33.1,28.2
108,32.1,27.7,32.9,28.2,33.2,28.2
109,32.1,27.8,33,28.3,33.3,28.3
110,32.4,27.9,33.1,28.4,33.5,28.4
111,32.5,27.9,33.2,28.5,33.6,28.5
112,32.5,28,33.3,28.5,33.6,28.5
113,32.7,28,33.4,28.6,33.7,28.7
114,32.7,28.2,33.5,28.7,33.9,28.7
115,32.8,28.3,33.7,28.8,33.9,28.8
116,32.9,28.3,33.8,28.9,34,28.9
117,33,28.5,33.9,29,34.1,29
118,33.1,28.6,34,29,34.2,29.1
119,33.2,28.6,34.2,29.2,34.2,29
120,33.4,28.7,34.2,29.2,34.4,29.2
121,33.5,28.8,34.3,29.3,34.4,29.2
122,33.5,28.9,34.5,29.3,34.5,29.3
123,33.7,28.9,34.5,29.5,34.7,29.4
124,33.8,29,34.6,29.5,34.8,29.4
125,33.9,29.1,34.7,29.6,34.9,29.5
126,34,29.1,34.8,29.7,34.9,29.6
127,34.1,29.2,34.9,29.8,35.1,29.7
128,34.2,29.4,35.1,29.9,35.2,29.7
129,34.2,29.4,35.2,29.9,35.3,29.8
130,34.3,29.5,35.2,30,35.4,29.9
131,34.4,29.6,35.4,30,35.5,30
132,34.4,29.6,35.4,30.1,35.5,30
133,34.6,29.7,35.5,30.1,35.7,30.1
134,34.7,29.8,35.6,30.2,35.8,30.2
135,34.7,29.9,35.8,30.3,35.8,30.2
136,34.8,29.9,35.8,30.4,35.9,30.3
137,34.9,30.1,35.9,30.4,36.1,30.4
138,35.1,30.1,36,30.5,36.2,30.5
139,35.2,30.2,36.1,30.6,36.2,30.6
140,35.3,30.3,36.1,30.7,36.4,30.8
141,35.4,30.3,36.3,30.8,36.4,30.8
142,35.4,30.4,36.5,30.8,36.5,30.8
143,35.7,30.5,36.5,30.9,36.7,31
144,35.7,30.6,36.6,31,36.7,31
145,35.8,30.6,36.8,31,36.9,31.1
146,35.9,30.8,36.8,31.1,37,31.2
147,35.9,30.8,36.9,31.1,37.1,31.2
148,36,30.8,37,31.3,37,31.3
149,36.1,31,37.1,31.4,37.2,31.3
