Sample No.,SDP-5040 Source,SDP-5040 Sink,SDP-6560 Source,SDP-6560 Sink,SDP-3540 Source,SDP-3540 Sink
0,22.4,22.4,22.3,22.2,22.3,22.4
1,22.4,22.4,22.3,22.2,22.3,22.4
2,22.3,22.5,22.2,22.2,22.3,22.4
3,22.4,22.5,22.3,22.2,22.3,22.4
4,22.4,22.5,22.3,22.3,22.3,22.4
5,22.4,22.5,22.2,22.3,22.3,22.5
6,22.3,22.5,22.3,22.2,22.4,22.5
7,22.4,22.5,22.3,22.2,22.3,22.4
8,22.3,22.4,22.3,22.2,22.3,22.4
9,22.4,22.4,22.3,22.2,22.4,22.4
10,22.4,22.4,22.3,22.3,22.3,22.4
11,22.4,22.4,22.4,22.2,22.3,22.4
12,22.5,22.4,22.3,22.2,22.3,22.5
13,22.5,22.5,22.3,22.2,22.4,22.4
14,22.6,22.5,22.5,22.2,22.4,22.5
15,22.6,22.5,22.5,22.2,22.5,22.5
16,22.7,22.5,22.6,22.3,22.5,22.5
17,22.9,22.5,22.7,22.4,22.6,22.5
18,22.8,22.6,22.7,22.4,22.8,22.5
19,23,22.6,22.8,22.4,22.9,22.5
20,23.1,22.6,22.9,22.4,22.9,22.5
21,23.2,22.6,23,22.5,23.1,22.5
22,23.3,22.7,23,22.6,23.2,22.6
23,23.3,22.7,23.2,22.6,23.3,22.6
24,23.5,22.8,23.3,22.7,23.3,22.6
25,23.6,22.8,23.3,22.7,23.5,22.6
26,23.7,22.8,23.4,22.8,23.6,22.7
27,23.8,22.8,23.6,22.9,23.7,22.7
28,24,22.9,23.6,22.9,23.8,22.7
29,24.1,22.9,23.8,23,24,22.8
30,24.2,22.9,23.9,23,24.1,22.8
31,24.3,23.1,24,23.2,24.3,22.9
32,24.4,23.1,24,23.3,24.3,23
33,24.5,23.1,24.2,23.3,24.5,22.9
34,24.6,23.2,24.2,23.4,24.6,23
35,24.8,23.3,24.4,23.5,24.7,23.1
36,24.9,23.4,24.4,23.6,24.9,23.1
37,25,23.4,24.6,23.7,25,23.2
38,25.1,23.5,24.7,23.8,25.2,23.3
39,25.3,23.5,24.8,23.8,25.3,23.3
40,25.3,23.6,25,23.9,25.3,23.4
41,25.4,23.7,25,24.1,25.6,23.5
42,25.5,23.8,25.1,24.1,25.7,23.6
43,25.6,23.8,25.3,24.3,25.8,23.5
44,25.7,23.9,25.4,24.3,25.9,23.6
45,25.9,24,25.4,24.4,26,23.7
46,26,24,25.6,24.4,26.1,23.7
47,26.1,24.1,25.7,24.6,26.2,23.8
48,26.3,24.2,25.8,24.7,26.4,23.9
49,26.4,24.2,25.9,24.7,26.5,23.9
50,26.5,24.3,26,24.9,26.6,24
51,26.6,24.4,26.1,24.9,26.8,24.1
52,26.7,24.4,26.2,25,26.9,24.1
53,26.8,24.5,26.3,25.1,27,24.2
54,27,24.7,26.4,25.3,27.1,24.3
55,27.1,24.7,26.4,25.3,27.2,24.4
56,27.2,24.8,26.6,25.4,27.4,24.5
57,27.2,24.8,26.7,25.5,27.5,24.6
58,27.5,25,26.8,25.6,27.6,24.6
59,27.5,25,26.9,25.7,27.7,24.7
60,27.6,25.1,27.1,25.9,27.8,24.8
61,27.8,25,27.1,25.9,27.9,24.8
62,27.8,25.3,27.2,26,28.1,24.9
63,27.9,25.3,27.4,26.1,28.1,25
64,28.1,25.4,27.4,26.2,28.3,25.1
65,28.2,25.4,27.5,26.3,28.4,25.2
66,28.2,25.5,27.7,26.3,28.4,25.3
67,28.4,25.7,27.8,26.4,28.6,25.3
68,28.6,25.7,27.8,26.5,28.7,25.4
69,28.6,25.8,27.9,26.6,28.8,25.5
70,28.7,25.8,28.1,26.7,28.9,25.5
71,28.8,26.1,28.1,26.8,29.1,25.6
72,29,26,28.3,26.9,29.1,25.7
73,29,26,28.4,27,29.2,25.8
74,29.2,26.3,28.5,27.1,29.5,26
75,29.3,26.2,28.6,27.1,29.5,25.9
76,29.3,26.3,28.7,27.3,29.7,26
77,29.5,26.4,28.8,27.2,29.8,26.2
78,29.7,26.5,28.9,27.4,29.9,26.3
79,29.7,26.6,29,27.4,30,26.3
80,29.8,26.5,29.1,27.6,30.1,26.4
81,30,26.8,29.2,27.6,30.3,26.5
82,30.1,26.8,29.2,27.8,30.4,26.6
83,30.1,26.9,29.4,27.8,30.4,26.6
84,30.3,27,29.5,27.9,30.6,26.7
85,30.4,27.1,29.5,27.9,30.7,26.8
86,30.4,27.1,29.8,28.1,30.7,26.9
87,30.6,27.2,29.8,28.2,30.9,26.9
88,30.7,27.3,29.8,28.2,31,27.1
89,30.8,27.3,30,28.4,31.1,27.1
90,30.8,27.6,30.1,28.4,31.3,27.2
91,31,27.5,30.2,28.5,31.3,27.3
92,31.2,27.6,30.3,28.6,31.4,27.3
93,31.2,27.6,30.4,28.7,31.5,27.5
94,31.4,27.7,30.5,28.8,31.6,27.6
95,31.4,27.8,30.5,28.8,31.6,27.6
96,31.6,27.8,30.7,29,31.8,27.7
97,31.7,27.9,30.8,29,31.9,27.7
98,31.8,28,30.9,29.1,32,27.9
99,31.9,28.1,31,29.2,32.1,27.9
100,32,28.2,31.1,29.3,32.2,28
101,32.2,28.3,31.1,29.4,32.4,28.1
102,32.3,28.3,31.3,29.4,32.5,28.2
103,32.3,28.4,31.4,29.6,32.6,28.3
104,32.5,28.5,31.4,29.6,32.7,28.4
105,32.6,28.6,31.6,29.7,32.8,28.4
106,32.7,28.7,31.7,29.8,32.9,28.5
107,32.8,28.8,31.7,29.9,33,28.5
108,32.9,28.9,31.8,30,33.1,28.7
109,33,29,31.9,30.1,33.2,28.9
110,33,29,32,30.2,33.4,28.9
111,33.2,29.1,32.1,30.2,33.4,29
112,33.3,29.1,32.2,30.3,33.5,29
113,33.4,29.2,32.3,30.4,33.7,29.1
114,33.5,29.3,32.4,30.4,33.8,29.2
115,33.6,29.4,32.5,30.5,33.8,29.3
116,33.7,29.3,32.6,30.6,34,29.3
117,33.8,29.5,32.7,30.7,34.1,29.5
118,33.9,29.6,32.7,30.8,34.2,29.6
119,34,29.7,32.9,30.9,34.3,29.6
120,34.1,29.8,32.9,31,34.3,29.6
121,34.2,29.9,32.9,31,34.5,29.7
122,34.3,29.9,33.2,31.2,34.6,29.8
123,34.4,30,33.2,31.2,34.6,29.9
124,34.5,30.1,33.3,31.3,34.8,30
125,34.6,30.2,33.4,31.4,34.8,30.1
126,34.7,30.2,33.5,31.5,35,30.2
127,34.8,30.3,33.5,31.5,35.1,30.3
128,34.9,30.3,33.7,31.6,35.2,30.3
129,35,30.4,33.7,31.7,35.3,30.4
130,35.1,30.5,33.8,31.9,35.4,30.5
131,35.2,30.5,33.9,31.9,35.5,30.6
132,35.3,30.6,34.1,31.9,35.6,30.7
133,35.4,30.6,34.1,32.1,35.6,30.7
134,35.5,30.8,34.2,32.1,35.8,30.8
135,35.5,30.9,34.3,32.2,35.9,31
136,35.7,31,34.4,32.4,35.9,31
137,35.8,31,34.5,32.4,36.1,31.2
138,35.8,31.1,34.6,32.6,36.2,31.2
139,36,31.3,34.7,32.7,36.2,31.3
140,36.1,31.5,34.8,32.7,36.3,31.3
141,36.2,31.5,34.9,32.7,36.5,31.5
142,36.2,31.5,35,32.9,36.6,31.6
143,36.4,31.6,35.1,32.9,36.6,31.7
144,36.5,31.7,35.2,33,36.8,31.7
145,36.5,31.7,35.2,33.1,36.8,31.8
146,36.7,31.8,35.3,33.2,36.9,31.9
147,36.7,31.8,35.4,33.2,37.1,32
148,36.8,32,35.5,33.3,37.1,32.1
149,36.9,32,35.6,33.4,37.2,32.2
150,37,32.1,35.6,33.5,37.3,32.2
151,37.1,32.2,35.7,33.5,37.4,32.3
152,37.2,32.2,35.8,33.7,37.5,32.4
153,37.3,32.3,35.9,33.7,37.6,32.5
154,37.4,32.4,36,33.8,37.7,32.6
155,37.5,32.4,36.1,33.9,37.8,32.7
156,37.6,32.6,36.2,34,37.9,32.7
157,37.7,32.7,36.2,34.1,38,32.8
158,37.7,32.8,36.3,34.2,38,32.9
159,37.9,32.8,36.4,34.2,38.1,33
160,38,32.9,36.4,34.2,38.3,33
161,38,32.9,36.6,34.3,38.3,33.1
162,38.2,33,36.7,34.3,38.4,33.2
163,38.3,33,36.7,34.4,38.4,33.2
164,38.4,33.1,36.8,34.5,38.6,33.3
