Sample No.	Unexpired Source	Unexpired Sink
0	21.7	21.7
1	21.7	21.7
2	21.7	21.7
3	21.7	21.7
4	21.7	21.7
5	21.6	21.7
6	21.7	21.8
7	21.7	21.7
8	21.7	21.7
9	21.7	21.7
10	21.7	21.8
11	21.8	21.8
12	21.8	21.8
13	21.9	21.8
14	22	21.7
15	22.1	21.8
16	22.1	21.8
17	22.1	21.7
18	22.4	21.8
19	22.5	21.9
20	22.5	21.9
21	22.7	21.9
22	22.8	21.9
23	22.9	22
24	23	22
25	23.1	22.1
26	23.2	22.1
27	23.4	22.1
28	23.5	22.2
29	23.6	22.2
30	23.7	22.3
31	23.9	22.2
32	24	22.3
33	24.1	22.3
34	24.2	22.4
35	24.4	22.5
36	24.5	22.5
37	24.5	22.6
38	24.7	22.7
39	24.8	22.8
40	25	22.8
41	25.1	22.9
42	25.2	22.9
43	25.3	23
44	25.5	23
45	25.6	23.2
46	25.6	23.2
47	25.8	23.3
48	25.9	23.4
49	26	23.4
50	26.1	23.4
51	26.3	23.6
52	26.4	23.7
53	26.5	23.7
54	26.6	23.8
55	26.7	23.9
56	26.8	24
57	27	24.1
58	27.1	24.1
59	27.2	24.2
60	27.4	24.2
61	27.4	24.4
62	27.5	24.4
63	27.6	24.5
64	27.8	24.6
65	27.9	24.6
66	27.9	24.7
67	28.1	24.8
68	28.2	24.9
69	28.3	24.9
70	28.5	25
71	28.6	25
72	28.7	25.2
73	28.8	25.3
74	28.9	25.4
75	29.1	25.4
76	29.2	25.5
77	29.2	25.6
78	29.4	25.7
79	29.5	25.7
80	29.7	25.8
81	29.7	25.9
82	29.8	26
83	30	26.1
84	30.1	26.1
85	30.2	26.2
86	30.3	26.3
87	30.4	26.4
88	30.5	26.5
89	30.7	26.6
90	30.7	26.7
91	30.8	26.7
92	31	26.8
93	31.1	26.9
94	31.1	27
95	31.3	27.1
96	31.4	27.2
97	31.5	27.3
98	31.6	27.4
99	31.7	27.5
100	31.8	27.5
101	31.8	27.6
102	32.1	27.8
103	32.1	27.8
104	32.2	27.8
105	32.3	28
106	32.4	28
107	32.5	28.1
108	32.7	28.2
109	32.7	28.4
110	32.8	28.4
111	33	28.5
112	33.1	28.6
113	33.1	28.5
114	33.3	28.6
115	33.4	28.7
116	33.5	28.8
117	33.6	28.9
118	33.7	29
119	33.7	29
120	33.9	29.1
121	34	29.2
122	34.1	29.3
123	34.2	29.4
124	34.4	29.4
125	34.4	29.6
126	34.5	29.6
127	34.6	29.7
128	34.7	29.8
129	34.8	29.9
130	34.8	29.9
131	35	30.1
132	35	30.1
133	35.1	30.1
134	35.3	30.3
135	35.4	30.4
136	35.5	30.5
137	35.5	30.5
138	35.7	30.6
139	35.8	30.7
140	35.8	30.7
141	36	31
142	36.1	31
143	36.2	31
144	36.3	31.3
145	36.4	31.3
146	36.5	31.4
147	36.6	31.5
148	36.6	31.6
149	36.7	31.6
150	36.7	31.7
151	36.9	31.7
152	37	31.9
153	37.1	31.9
154	37.2	32
155	37.3	32.1
156	37.4	32.1
157	37.5	32.3
158	37.5	32.3
159	37.6	32.3
160	37.8	32.5
161	37.8	32.6
162	38	32.6
163	38	32.7
164	38.2	32.8
165	38.2	32.9
166	38.3	32.9
167	38.3	33
168	38.3	33
169	38.4	33.1
170	38.5	33.3
171	38.6	33.4
172	38.7	33.5
173	38.8	33.6
174	38.9	33.7
175	39	33.8
176	39.2	33.9
177	39.2	33.9
178	39.3	34
179	39.5	34.1
180	39.5	34.2
181	39.6	34.2
182	39.7	34.3
183	39.9	34.4
184	39.9	34.5
185	40	34.5
186	40.1	34.6
187	40.2	34.7
188	40.3	34.8
189	40.4	34.9
190	40.5	34.9
191	40.6	34.9
192	40.7	35.1
193	40.8	35.1
194	40.8	35.1
195	40.9	35.2
196	41	35.3
197	41	35.4
198	41.2	35.4
199	41.2	35.5
200	41.3	35.6
201	41.3	35.6
202	41.5	35.7
203	41.5	35.8
204	41.7	35.8
205	41.7	36
206	41.8	36
207	41.9	36
208	42	36.2
209	42.1	36.2
210	42.1	36.3
211	42.3	36.4
212	42.3	36.5
213	42.4	36.5
214	42.6	36.6
215	42.6	36.7
216	42.7	36.8
217	42.8	36.9
218	42.9	37
219	43	37
220	43.1	37.1
221	43.1	37.3
222	43.1	37.3
223	43.1	37.3
224	43.3	37.3
225	43.4	37.4
226	43.5	37.3
227	43.7	37.3
228	43.8	37.5
229	43.8	37.5
230	43.9	37.5
231	44	37.8
232	44.1	37.8
233	44.1	37.9
234	44.2	38.1
235	44.3	38.2
236	44.3	38.2
237	44.4	38.2
238	44.5	38.3
239	44.6	38.3
240	44.7	38.5
241	44.8	38.5
242	44.8	38.6
243	45	38.8
244	44.9	38.8
245	45.1	38.9
246	45	38.9
247	45.1	39.1
248	45.3	39.1
249	45.3	39.2
250	45.5	39.3
251	45.5	39.3
252	45.6	39.3
253	45.7	39.3
254	45.7	39.4
255	45.9	39.5
256	46	39.5
257	46	39.7
258	46	39.7
259	46.2	39.7
260	46.4	39.9
261	46.5	39.9
262	46.5	39.9
263	46.6	40.1
